name,countries,categories,currency,denominations,discount,expiry,url
"Atento Germany","DE","beauty; fashion; food-and-drink; jewellery","EUR","10; 25; 50","9","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/atento-de.jpg"
"Dots.eco - Support Rescued Pets UK","GB","charity","GBP","10; 25; 50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000","38","N/A","https://assets.tillo.io/images/brands/vouchers/330x214/dotseco-support-rescued-pets-uk.jpg"
"Spabreaks.com","GB","travel-and-leisure","GBP","10; 25; 50; 100; 250; 500; 1000","10","All gift vouchers are valid for 12 months from date of purchase. Gift cards can be redeemed for their monetary value against any spa package on Spabreaks.com. 
                        Gift vouchers can not be used directly at the Spas or hotels.","https://assets.tillo.io/images/brands/vouchers/330x214/spa-breaks.jpg"
"Penny. Italy","IT","supermarket","EUR","25; 50; 100","2","1 year","https://assets.tillo.io/images/brands/vouchers/330x214/penny-it.jpg"
"Waipu.tv Perfect Plus Germany","DE","gaming","EUR","80; 150","7","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/waipu-tv-perfect-plus-de.jpg"
"misterspex Germany","DE","fashion; jewellery","EUR","10; 15; 20; 25; 50; 100","13","33 months","https://assets.tillo.io/images/brands/vouchers/330x214/misterspex-de.jpg"
"Eataly Italy","IT","food-and-drink","EUR","10; 25; 50; 100; 150","4","24 months","https://assets.tillo.io/images/brands/vouchers/330x214/eataly-it.jpg"
"Intimissimi France","FR","fashion","EUR","30; 50; 70; 100","5.5","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/intimissimi-fr.jpg"
"London Theatre Direct","GB","travel-and-leisure","GBP","10; 25; 50; 100; 250; 500","8","12 months from activation","https://assets.tillo.io/images/brands/vouchers/330x214/london-theatre-direct.jpg"
"Dots.eco - Restore Kelp Forests UK","GB","charity","GBP","10; 25; 50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000","38","N/A","https://assets.tillo.io/images/brands/vouchers/330x214/dotseco-resore-kelp-forests-uk.jpg"
"Douglas Germany","DE","beauty","EUR","10; 15; 20; 25; 30; 44; 50; 60; 100","12","5 years","https://assets.tillo.io/images/brands/vouchers/330x214/douglas-de.jpg"
"Hotel Giftcard","GB","travel-and-leisure","GBP","10; 25; 50; 100; 250; 500","14","24 Months","https://assets.tillo.io/images/brands/vouchers/330x214/hotel-giftcard.jpg"
